date,product,price,location
2024-01-01,Onions,25.20,Delhi
2024-01-02,Onions,26.10,Delhi
2024-01-03,Onions,27.50,Delhi
2024-01-04,Onions,26.80,Delhi
2024-01-05,Onions,27.20,Delhi
2024-01-06,Onions,27.80,Delhi
2024-01-07,Onions,28.50,Delhi
2024-01-01,Tomatoes,22.50,Delhi
2024-01-02,Tomatoes,21.80,Delhi
2024-01-03,Tomatoes,21.20,Delhi
2024-01-04,Tomatoes,20.90,Delhi
2024-01-05,Tomatoes,20.50,Delhi
2024-01-06,Tomatoes,19.80,Delhi
2024-01-07,Tomatoes,18.75,Delhi
2024-01-01,Potatoes,15.60,Delhi
2024-01-02,Potatoes,15.40,Delhi
2024-01-03,Potatoes,15.20,Delhi
2024-01-04,Potatoes,15.10,Delhi
2024-01-05,Potatoes,15.30,Delhi
2024-01-06,Potatoes,15.50,Delhi
2024-01-07,Potatoes,15.20,Delhi
2024-01-01,Carrots,20.50,Delhi
2024-01-02,Carrots,20.80,Delhi
2024-01-03,Carrots,21.20,Delhi
2024-01-04,Carrots,19.90,Delhi
2024-01-05,Carrots,20.30,Delhi
2024-01-06,Carrots,21.00,Delhi
2024-01-07,Carrots,22.40,Delhi
2024-01-01,Cauliflower,28.00,Delhi
2024-01-02,Cauliflower,27.50,Delhi
2024-01-03,Cauliflower,26.80,Delhi
2024-01-04,Cauliflower,29.00,Delhi
2024-01-05,Cauliflower,30.20,Delhi
2024-01-06,Cauliflower,29.50,Delhi
2024-01-07,Cauliflower,32.10,Delhi
